4-2: {284,243,0,1,256,175,24,0,313,187,28,0,369,187,28,0,324,294,0,0,304,264,0,0,304,344,8,0,304,294,8,0,284,339,8,0,359,329,0,0,314,186,6,0,344,344,16,0,304,224,0,0,387,271,20,0,327,229,12,1},
85-1: {218,125,0,0,171,213,0,0,336,229,4,1,323,300,12,0,237,227,28,0,264,199,4,0,238,284,12,0,291,227,4,0,275,217,20,0,221,294,28,0,336,229,28,0,251,213,28,0,393,229,28,0,278,145,28,1,275,246,20,1},
85-2: {260,155,0,0,340,261,29,0,260,235,4,0,288,320,16,0,356,236,29,0,320,194,28,0,298,130,20,1,372,247,29,0,333,249,8,0,360,232,21,0,347,291,9,0,348,194,8,1,288,234,8,0,246,306,4,0,269,103,28,0},
5-1: {310,182,8,0,310,282,0,0,311,225,8,1,310,222,16,0,350,182,0,0,390,182,0,0,350,222,0,0,390,222,0,0,355,202,0,0,385,202,0,0,315,261,3,0,350,222,0,0,310,282,8,0,313,183,20,0,311,225,20,0},
5-2: {254,136,1,0,232,367,5,0,302,228,28,0,303,303,4,0,265,189,17,0,322,179,6,0,322,179,6,0,313,224,30,0,246,188,9,0,297,213,22,0,340,345,4,0,273,256,24,1,345,123,30,0,344,270,12,0,312,372,12,1},
86-1: {323,226,1,0,248,146,24,0,300,313,12,1,288,245,0,1,272,229,4,0,299,202,4,0,299,202,28,0,166,235,20,0,180,327,4,0,289,219,12,0,288,186,16,0,258,299,4,1,272,229,28,0,247,254,4,1,138,207,20,1},
86-2: {241,227,2,0,354,326,31,0,355,326,27,0,359,236,20,0,379,206,22,0,380,217,0,1,359,293,4,0,380,260,0,0,391,273,21,0,360,255,24,0,364,300,28,0,360,157,0,0,420,300,16,0,301,272,20,1,323,350,11,0},
6-1: {277,262,24,0,203,183,4,0,277,262,28,1,251,204,4,1,279,159,28,0,271,204,0,0,274,165,4,0,266,248,28,0,298,244,14,0,316,259,24,0,292,132,8,0,307,132,28,0,271,204,24,1,334,105,20,0,305,290,12,1},
6-2: {239,138,31,0,262,272,0,0,262,225,9,1,265,168,6,0,302,232,0,0,342,232,0,0,302,272,0,0,342,272,0,0,307,252,0,0,337,252,0,0,285,265,6,0,302,152,0,0,302,172,0,0,212,258,3,0,343,152,12,0},
87-1: {221,135,0,0,300,191,10,0,249,242,4,1,310,169,12,0,297,233,0,1,317,292,0,0,357,234,24,0,329,272,4,0,342,327,8,0,377,239,8,0,289,259,16,0,317,312,16,1,297,253,8,0,343,171,28,1,310,114,28,0},
87-2: {319,139,0,0,233,287,8,0,399,280,0,1,343,280,12,0,371,252,12,0,268,216,4,0,329,238,4,0,315,280,12,0,300,233,12,0,361,236,20,0,239,159,28,0,282,230,12,0,329,294,12,0,376,162,28,1,303,273,28,1},
7-1: {305,123,28,0,350,223,30,0,248,180,0,0,370,142,28,0,328,260,0,0,375,196,4,0,389,211,4,0,348,180,16,0,378,193,4,0,306,295,24,0,361,249,10,0,288,220,8,0,288,220,0,0,297,132,12,1,306,123,12,1},
7-2: {443,291,23,0,270,198,0,0,284,264,0,0,374,164,28,0,329,140,28,0,334,104,0,0,338,243,20,0,339,299,4,0,343,134,20,0,321,309,28,0,284,264,0,0,334,104,0,0,338,299,12,0,364,183,28,1,316,183,4,1},
88-1: {274,343,8,0,217,181,0,0,220,313,28,1,292,350,7,0,265,166,12,0,262,355,28,0,291,261,12,0,330,155,4,0,300,295,8,0,244,365,28,0,163,313,28,0,275,220,0,0,262,355,12,0,313,165,28,1,270,220,20,0},
88-2: {287,257,0,1,232,206,4,0,344,179,4,0,381,247,0,0,411,176,20,0,297,240,5,0,415,266,12,0,303,198,29,0,308,309,13,0,317,338,24,0,342,287,28,0,292,263,0,0,314,180,29,0,400,286,28,1,343,237,12,1},
8-1: {347,129,0,0,208,154,0,0,347,209,4,0,375,293,20,0,243,255,28,0,218,225,4,0,215,283,28,0,215,283,12,0,232,273,28,0,278,269,28,0,310,254,4,0,271,199,28,0,260,182,28,0,347,265,28,1,260,182,12,1},
8-2: {261,147,0,1,278,289,4,0,318,172,28,0,345,141,27,0,275,315,0,1,275,275,0,0,347,201,20,0,275,315,0,0,353,283,18,0,270,295,0,0,272,221,28,0,334,249,0,0,374,329,8,1,361,215,12,0,220,275,12,1},
89-1: {313,205,8,0,229,282,8,0,353,244,4,0,341,177,28,0,305,265,4,0,305,265,4,0,291,228,4,0,292,271,0,0,322,274,4,0,347,236,0,0,393,205,16,0,272,271,24,1,272,251,8,0,340,314,4,0,261,250,20,0},
89-2: {279,258,1,1,384,334,11,0,329,234,28,0,346,136,27,0,344,221,28,0,307,214,0,0,320,286,4,0,371,248,4,0,287,219,24,0,354,238,4,0,287,214,8,0,367,174,24,0,347,174,24,0,335,288,28,1,280,259,20,1},
9-1: {269,112,0,0,281,295,31,0,290,265,28,0,229,134,8,0,280,365,12,1,292,330,28,0,256,205,0,0,287,205,0,1,242,250,0,0,322,221,0,0,229,125,20,0,257,225,24,1,247,205,24,1,249,280,28,1,292,135,28,0},
9-2: {320,247,0,1,323,272,31,0,323,172,4,1,337,230,28,0,320,307,0,0,344,214,20,0,226,271,12,0,344,192,28,0,209,302,4,0,358,270,29,0,306,138,28,0,246,175,28,0,231,303,12,0,260,189,12,0,319,248,12,1},
90-1: {286,184,31,0,207,214,4,0,270,262,3,0,252,323,20,0,332,216,0,0,332,196,0,0,392,305,20,0,336,277,28,0,315,304,4,0,337,141,8,0,364,277,8,0,322,291,4,0,332,156,0,0,414,210,20,0,198,264,12,1},
90-2: {261,131,24,0,334,213,29,0,332,213,8,1,292,214,0,0,290,116,4,0,298,158,4,0,392,121,12,0,280,207,28,0,366,205,12,0,283,130,20,0,235,129,5,0,297,159,4,0,239,153,28,0,209,240,4,0,326,75,20,1},
